feature,importance
clab_srte4_r4__eth1__rx_mbps__rollmean5,3.5597395075136585e-05
clab_srte4_r2__eth2__tx_mbps__rollstd10,3.2160151535722484e-05
clab_srte4_r1__eth2__rx_mbps__rollmean5,3.09300634493896e-05
clab_srte4_r4__eth1__rx_mbps__rollmean10,2.917172341235389e-05
clab_srte4_r4__eth1__rx_mbps__lag10,2.774773100235643e-05
clab_srte4_r1__eth2__is_hot_link__rollstd5,2.7702994071001004e-05
clab_srte4_r1__eth1__tx_mbps__lag10,2.656007905292344e-05
clab_srte4_r4__eth1__rx_mbps__rollstd3,2.6492451428112742e-05
clab_srte4_r3__eth2__rx_mbps__rollmean3,2.4348524519347072e-05
clab_srte4_r2__eth2__tx_mbps__lag10,2.3179604418583586e-05
clab_srte4_r1__eth2__rx_mbps__rollmean3,2.2795780487221234e-05
clab_srte4_r2__eth2__tx_mbps__rollstd3,2.250031606137608e-05
clab_srte4_r3__eth2__rx_mbps__lag10,2.2271574604187972e-05
clab_srte4_r3__eth2__rx_mbps__rollstd3,2.1340896601716054e-05
clab_srte4_r2__eth1__rx_mbps,1.6437110902088828e-05
clab_srte4_r1__eth1__tx_mbps__rollstd3,1.6432751554656915e-05
clab_srte4_r1__eth1__tx_mbps__rollstd5,1.5947732031050822e-05
clab_srte4_r1__eth2__rx_mbps,1.3733876469477422e-05
clab_srte4_r3__eth1__tx_mbps__rollmean3,1.3136985065427502e-05
clab_srte4_r1__eth1__tx_mbps__lag5,1.152518893181814e-05
clab_srte4_r1__eth1__tx_mbps__rollmean10,1.0410880970471466e-05
clab_srte4_r1__eth1__tx_mbps__rollmean3,1.0288675934542766e-05
clab_srte4_r4__eth2__tx_mbps__rollmean10,1.0157985032034751e-05
clab_srte4_r3__eth1__tx_mbps__lag2,1.0031557483451449e-05
clab_srte4_r1__eth1__tx_mbps,9.420899308615177e-06
clab_srte4_r3__eth1__tx_mbps,8.571773227768204e-06
clab_srte4_r1__eth2__rx_mbps__lag10,8.510477548737642e-06
clab_srte4_r2__eth2__tx_mbps,8.406407439719001e-06
clab_srte4_r2__eth1__rx_mbps__rollmean10,8.070385698260975e-06
clab_srte4_r4__eth2__tx_mbps__rollstd5,7.919575762821234e-06
clab_srte4_r4__eth2__tx_mbps,7.715801378058007e-06
clab_srte4_r4__eth1__rx_mbps__rollstd10,6.925826865927045e-06
clab_srte4_r3__eth2__is_hot_link__lag5,5.321453633075658e-06
clab_srte4_r2__eth1__rx_mbps__rollmean3,5.197184982145628e-06
clab_srte4_r3__eth1__tx_mbps__rollstd10,5.095657184791681e-06
clab_srte4_r4__eth2__tx_mbps__rollstd3,5.078116255058647e-06
clab_srte4_r3__eth1__tx_mbps__lag10,4.989979466412839e-06
clab_srte4_r4__eth2__tx_mbps__lag10,4.981258868347355e-06
clab_srte4_r4__eth1__rx_mbps,4.562683230679477e-06
clab_srte4_r2__eth1__rx_mbps__rollstd10,3.928195275293137e-06
clab_srte4_r3__eth2__rx_mbps__rollstd10,3.829559255036875e-06
